fips_code,county,state,customers_out,run_start_time
51107,Loudoun,Virginia,1.0,2025-01-03 07:30:00
51107,Loudoun,Virginia,1.0,2025-01-03 07:45:00
51107,Loudoun,Virginia,1.0,2025-01-03 08:00:00
51107,Loudoun,Virginia,1.0,2025-01-03 08:15:00
51107,Loudoun,Virginia,1.0,2025-01-03 13:45:00
51107,Loudoun,Virginia,10.0,2025-01-03 14:30:00
51107,Loudoun,Virginia,2.0,2025-01-03 14:45:00
51107,Loudoun,Virginia,2.0,2025-01-03 15:00:00
51107,Loudoun,Virginia,2.0,2025-01-03 15:15:00
51107,Loudoun,Virginia,2.0,2025-01-03 15:30:00
51107,Loudoun,Virginia,2.0,2025-01-03 15:45:00
51107,Loudoun,Virginia,2.0,2025-01-03 16:00:00
51107,Loudoun,Virginia,10.0,2025-01-03 16:15:00
51107,Loudoun,Virginia,10.0,2025-01-03 16:30:00
51107,Loudoun,Virginia,10.0,2025-01-03 16:45:00
51107,Loudoun,Virginia,10.0,2025-01-03 17:00:00
51107,Loudoun,Virginia,9.0,2025-01-03 17:15:00
51107,Loudoun,Virginia,9.0,2025-01-03 17:30:00
51107,Loudoun,Virginia,8.0,2025-01-03 17:45:00
51107,Loudoun,Virginia,8.0,2025-01-03 18:00:00
51107,Loudoun,Virginia,10.0,2025-01-03 18:15:00
51107,Loudoun,Virginia,3.0,2025-01-03 18:30:00
51107,Loudoun,Virginia,3.0,2025-01-03 18:45:00
51107,Loudoun,Virginia,3.0,2025-01-03 19:00:00
51107,Loudoun,Virginia,3.0,2025-01-03 19:15:00
51107,Loudoun,Virginia,3.0,2025-01-03 19:30:00
51107,Loudoun,Virginia,2.0,2025-01-03 19:45:00
51107,Loudoun,Virginia,1.0,2025-01-03 20:00:00
51107,Loudoun,Virginia,1.0,2025-01-03 20:15:00
51107,Loudoun,Virginia,1.0,2025-01-03 20:30:00
51107,Loudoun,Virginia,1.0,2025-01-03 20:45:00
51107,Loudoun,Virginia,1.0,2025-01-03 21:00:00
51107,Loudoun,Virginia,1.0,2025-01-03 21:15:00
51107,Loudoun,Virginia,1.0,2025-01-03 21:30:00
51107,Loudoun,Virginia,22.0,2025-01-03 21:45:00
51107,Loudoun,Virginia,22.0,2025-01-03 22:00:00
51107,Loudoun,Virginia,22.0,2025-01-03 22:15:00
51107,Loudoun,Virginia,27.0,2025-01-03 22:30:00
51107,Loudoun,Virginia,27.0,2025-01-03 22:45:00
51107,Loudoun,Virginia,27.0,2025-01-03 23:00:00
51107,Loudoun,Virginia,27.0,2025-01-03 23:15:00
51107,Loudoun,Virginia,27.0,2025-01-03 23:30:00
51107,Loudoun,Virginia,27.0,2025-01-03 23:45:00
51107,Loudoun,Virginia,27.0,2025-01-04 00:00:00
51107,Loudoun,Virginia,27.0,2025-01-04 00:15:00
51107,Loudoun,Virginia,27.0,2025-01-04 00:30:00
51107,Loudoun,Virginia,27.0,2025-01-04 00:45:00
51107,Loudoun,Virginia,27.0,2025-01-04 01:00:00
51107,Loudoun,Virginia,26.0,2025-01-04 01:15:00
51107,Loudoun,Virginia,26.0,2025-01-04 01:30:00
51107,Loudoun,Virginia,26.0,2025-01-04 01:45:00
51107,Loudoun,Virginia,26.0,2025-01-04 02:00:00
51107,Loudoun,Virginia,4.0,2025-01-04 05:15:00
51107,Loudoun,Virginia,1.0,2025-01-04 07:00:00
51107,Loudoun,Virginia,7.0,2025-01-04 07:15:00
51107,Loudoun,Virginia,7.0,2025-01-04 07:30:00
51107,Loudoun,Virginia,6.0,2025-01-04 07:45:00
51107,Loudoun,Virginia,6.0,2025-01-04 08:00:00
51107,Loudoun,Virginia,6.0,2025-01-04 08:15:00
51107,Loudoun,Virginia,6.0,2025-01-04 08:30:00
51107,Loudoun,Virginia,6.0,2025-01-04 08:45:00
51107,Loudoun,Virginia,1.0,2025-01-04 12:45:00
51107,Loudoun,Virginia,1.0,2025-01-04 13:00:00
51107,Loudoun,Virginia,1.0,2025-01-04 13:15:00
51107,Loudoun,Virginia,1.0,2025-01-04 13:30:00
51107,Loudoun,Virginia,1.0,2025-01-04 13:45:00
51107,Loudoun,Virginia,1.0,2025-01-04 14:00:00
51107,Loudoun,Virginia,1.0,2025-01-04 14:15:00
